To,T,Person A,1,2,Person B,1,2,Person C,1,2,Total,Rank
2026-06-30,Team 4,Bridgit Weekes,76.66,75.72,Neil Pattenden,66.77,65.37,Neil Haggertay,0,0,284.52,16
2026-05-31,Team 16,James Brinklow,74.98,74.78,Paul Shelley,74.50,73.20,Jim Knight,62.10,61.45,421.01,1,409.3
2026-05-31,Team 6,Heather Fitzmaurice,77.24,76.13,Seb Naughton,68.71,67.56,Michael Allen,65.02,61.54,416.20,2,416.1
2026-05-31,Team 15,Sean Leith,76.79,73.15,Andy Edwards,66.27,63.89,Adam Bates,68.84,66.51,415.45,3,407.5
2026-05-31,Team 11,Sally Shewell,75.59,75.45,Dan Witt,74.02,72.42,Alan Male,58.70,58.52,414.70,4,421.3
2026-05-31,Team 13,Jon Drake,80.39,77.55,Graham Dwyer,69.64,69.02,Ron Denney,58.73,57.26,412.59,5,416.2
2026-05-31,Team 1,Allan Lee,94.52,85.56,James Brinklow,74.98,74.78,Paul Tabor,40.41,40.38,410.63,6,409.9
2026-05-31,Team 8,Jake Mears,77.10,74.71,Jon Maxim,66.42,65.02,Anna Humphrey-Taylor,60.81,60.57,404.63,7,408.2
2026-05-31,Team 12,Caroline Fenwick,76.59,72.89,Andy Ashlee,69.56,69.21,Sham Pickard,57.78,55.38,401.41,8,417.2
2026-05-31,Team 2,Keith Dowson,88.55,88.14,Nick Humphrey-Taylor,72.48,69.56,Martin Dixon,36.69,36.00,391.42,9,416.1
2026-05-31,Team 9,John Denyer,66.25,64.85,Rosie Williams,74.66,67.72,Maria Ashlee,56.39,56.05,385.92,10,410.5
2026-05-31,Team 5,Rebecca Pickard,70.10,65.72,Samantha Znetyniak,60.13,60.02,Emma Pattenden,56.03,55.83,367.83,11,404.6
2026-05-31,Team 14,Edmund Saunders,68.46,-,Simon Hallpike,74.31,72.90,Lionel Stielow,59.73,59.58,334.98,12,418.9
2026-05-31,Team 3,Jamie Philip,87.86,87.42,David Hale,60.99,-,Sylvia Lewis,48.11,47.66,332.04,13,412.3
2026-05-31,Team 4,Bridgit Weekes,76.66,75.72,Neil Pattenden,66.77,65.37,Neil Haggertay,-,-,284.52,14,404.8
2026-05-31,Team 10,Michael McCarthy,-,-,Simon Hallpike,74.31,72.90,Sarah Philpott,64.14,61.59,272.94,15,418.9
2026-05-31,Team 7,Guillaume Nineven,-,-,Nicola Glover,65.73,58.77,David Killpack,58.33,55.46,238.29,16,414.4
2026-04-30,Team 11,Sally Shewell,75.59,75.45,Dan Witt,74.02,72.42,Alan Male,58.70,58.52,414.70,1
2026-04-30,Team 1,Allan Lee,94.52,85.56,James Brinklow,74.98,74.78,Paul Tabor,40.41,40.38,410.63,2
2026-04-30,Team 6,Heather Fitzmaurice,76.13,75.58,Seb Naughton,68.71,63.61,Michael Allen,65.02,61.28,410.33,3
2026-04-30,Team 13,Jon Drake,80.39,76.36,Graham Dwyer,69.64,69.02,Ron Denney,57.26,57.14,409.81,4
2026-04-30,Team 15,Sean Leith,73.15,73.01,Andy Edwards,66.27,63.89,Adam Bates,63.73,63.05,403.10,5
2026-04-30,Team 8,Jake Mears,77.10,74.71,Jon Maxim,65.02,64.97,Anna Humphrey-Taylor,60.81,59.45,402.06,6
2026-04-30,Team 12,Caroline Fenwick,76.59,72.89,Andy Ashlee,69.56,69.21,Sham Pickard,55.38,52.00,395.63,7
2026-04-30,Team 2,Keith Dowson,88.55,86.53,Nick Humphrey-Taylor,72.48,69.56,Martin Dixon,36.69,36.00,389.81,8
2026-04-30,Team 5,Rebecca Pickard,70.10,65.72,Samantha Znetyniak,60.02,58.25,Emma Pattenden,56.03,55.54,365.66,9
2026-04-30,Team 16,James Brinklow,74.98,74.78,Paul Shelley,74.50,72.65,Jim Knight,61.45,-,358.36,10
2026-04-30,Team 9,John Denyer,64.85,-,Rosie Williams,74.66,67.72,Maria Ashlee,56.39,56.05,319.67,11
2026-04-30,Team 4,Bridgit Weekes,76.66,75.49,Neil Pattenden,65.37,64.26,Neil Haggertay,-,-,281.78,12
2026-04-30,Team 10,Michael McCarthy,-,-,Simon Hallpike,74.31,72.08,Sarah Philpott,64.14,61.59,272.12,13
2026-04-30,Team 14,Edmund Saunders,-,-,Simon Hallpike,74.31,72.08,Lionel Stielow,58.55,57.98,262.92,14
2026-04-30,Team 7,Guillaume Nineven,-,-,Nicola Glover,65.73,58.77,David Killpack,55.46,53.84,233.80,15
2026-04-30,Team 3,Jamie Philip,76.29,-,David Hale,60.99,-,Sylvia Lewis,47.66,46.77,231.71,16
2026-03-31,Team 11,Sally Shewell,75.30,74.76,Dan Witt,74.02,71.04,Alan Male,58.52,58.19,411.83,1
2026-03-31,Team 1,Allan Lee,94.52,85.56,James Brinklow,74.78,74.39,Paul Tabor,40.41,40.38,410.04,2
2026-03-31,Team 6,Heather Fitzmaurice,76.13,73.64,Seb Naughton,68.71,63.61,Michael Allen,65.02,61.28,408.39,3
2026-03-31,Team 8,Jake Mears,74.71,73.71,Jon Maxim,65.02,64.73,Anna Humphrey-Taylor,59.45,57.82,395.44,4
2026-03-31,Team 15,Sean Leith,73.01,70.90,Andy Edwards,63.89,60.69,Adam Bates,63.73,63.05,395.27,5
2026-03-31,Team 2,Keith Dowson,88.55,86.53,Nick Humphrey-Taylor,69.56,69.40,Martin Dixon,36.69,36.00,386.73,6
2026-03-31,Team 13,Jon Drake,76.36,74.77,Graham Dwyer,69.02,-,Ron Denney,57.14,56.94,334.23,7
2026-03-31,Team 9,John Denyer,64.85,-,Rosie Williams,67.72,67.42,Maria Ashlee,56.05,55.04,311.08,8
2026-03-31,Team 5,Rebecca Pickard,61.90,-,Samantha Znetyniak,58.25,57.74,Emma Pattenden,56.03,55.54,289.46,9
2026-03-31,Team 16,James Brinklow,74.78,74.39,Paul Shelley,72.65,-,Jim Knight,61.45,-,283.27,10
2026-03-31,Team 4,Bridgit Weekes,75.49,74.30,Neil Pattenden,64.26,63.36,Neil Haggertay,-,-,277.41,11
2026-03-31,Team 10,Michael McCarthy,-,-,Simon Hallpike,74.31,69.11,Sarah Philpott,64.14,60.04,267.60,12
2026-03-31,Team 14,Edmund Saunders,-,-,Simon Hallpike,74.31,69.11,Lionel Stielow,58.55,57.95,259.92,13
2026-03-31,Team 7,Guillaume Nineven,-,-,Nicola Glover,58.77,57.73,David Killpack,53.84,45.95,216.29,14
2026-03-31,Team 12,Caroline Fenwick,72.89,-,Andy Ashlee,69.56,69.21,Sham Pickard,-,-,211.66,15
2026-03-31,Team 3,Jamie Philip,-,-,David Hale,60.99,-,Sylvia Lewis,47.66,46.18,154.83,16
2026-03-08,Team 1,Allan Lee,0,0,James Brinklow,77.16,76.19,Paul Tabor,40.41,40.23,233.99
2026-03-08,Team 2,Keith Dowson,88.55,0,Nick Humphrey-Taylor,69.56,69.02,Martin Dixon,36.69,0,263.82
2026-03-08,Team 3,Jamie Philip,0,0,David Hale,60.99,0,Sylvia Lewis,47.66,46.18,154.83
2026-03-08,Team 4,Bridgit Weekes,0,0,Neil Pattenden,63.36,61.96,Neil Haggertay,0,0,125.32
2026-03-08,Team 5,Rebecca Pickard,61.9,0,Samantha Znetyniak,58.25,57.74,Emma Pattenden,55.54,55.2,288.63
2026-03-08,Team 6,Heather Fitzmaurice,73.64,69.3,Seb Naughton,68.71,63.61,Michael Allen,65.02,61.28,401.56
2026-03-08,Team 7,Guillaume Nineven,0,0,Nicola Glover,58.77,54.07,David Killpack,53.84,45.95,212.63
2026-03-08,Team 8,Jake Mears,73.71,72.67,Jon Maxim,62.7,61.1,Anna Humphrey-Taylor,59.45,57.82,387.45
2026-03-08,Team 9,John Denyer,0,0,Rosie Williams,67.12,66.66,Maria Ashlee,56.05,55.04,244.87
2026-03-08,Team 10,Michael McCarthy,0,0,Simon Hallpike,74.31,65.3,Sarah Philpott,60.04,59.15,258.8
2026-03-08,Team 11,Sally Shewell,74.76,72.04,Dan Witt,74.02,71.04,Alan Male,58.19,57.71,407.76
2026-03-08,Team 12,Caroline Fenwick,72.89,0,Andy Ashlee,69.56,69.21,Sham Pickard,0,0,211.66
2026-03-08,Team 13,Jon Drake,74.77,70.8,Graham Dwyer,69.02,0,Ron Denney,56.94,56.81,328.34
2026-03-08,Team 14,Edmund Saunders,0,0,Simon Hallpike,74.31,65.3,Lionel Stielow,58.55,57.95,256.11
2026-03-08,Team 15,Sean Leith,70.9,67.51,Andy Edwards,63.89,60.69,Adam Bates,63.73,63.05,389.77
2026-03-08,Team 16,James Brinklow,77.16,76.19,Paul Shelley,72.65,0,Jim Knight,0,0,226
